"tensor(-0.0454, device='cuda:0')",tensor([-1.])
"tensor(-0.6428, device='cuda:0')",tensor([-0.9922])
"tensor(-0.3572, device='cuda:0')",tensor([-0.9843])
"tensor(0.2270, device='cuda:0')",tensor([-0.9765])
"tensor(-0.5194, device='cuda:0')",tensor([-0.9686])
"tensor(-0.4800, device='cuda:0')",tensor([-0.9608])
"tensor(-0.1592, device='cuda:0')",tensor([-0.9529])
"tensor(-0.2681, device='cuda:0')",tensor([-0.9451])
"tensor(-0.2265, device='cuda:0')",tensor([-0.9373])
"tensor(-0.3504, device='cuda:0')",tensor([-0.9294])
"tensor(-0.3397, device='cuda:0')",tensor([-0.9216])
"tensor(-0.4854, device='cuda:0')",tensor([-0.9137])
"tensor(0.1171, device='cuda:0')",tensor([-0.9059])
"tensor(-0.1006, device='cuda:0')",tensor([-0.8980])
"tensor(-0.3316, device='cuda:0')",tensor([-0.8902])
"tensor(-0.2357, device='cuda:0')",tensor([-0.8824])
"tensor(-0.1998, device='cuda:0')",tensor([-0.8745])
"tensor(0.5613, device='cuda:0')",tensor([-0.8667])
"tensor(-0.1365, device='cuda:0')",tensor([-0.8588])
"tensor(0.0719, device='cuda:0')",tensor([-0.8510])
"tensor(-0.1115, device='cuda:0')",tensor([-0.8431])
"tensor(0.2205, device='cuda:0')",tensor([-0.8353])
"tensor(-0.1656, device='cuda:0')",tensor([-0.8275])
"tensor(-0.0229, device='cuda:0')",tensor([-0.8196])
"tensor(0.1034, device='cuda:0')",tensor([-0.8118])
"tensor(0.3657, device='cuda:0')",tensor([-0.8039])
"tensor(-0.1563, device='cuda:0')",tensor([-0.7961])
"tensor(-0.2146, device='cuda:0')",tensor([-0.7882])
"tensor(0.2373, device='cuda:0')",tensor([-0.7804])
"tensor(0.4416, device='cuda:0')",tensor([-0.7725])
"tensor(-0.3230, device='cuda:0')",tensor([-0.7647])
"tensor(-0.2496, device='cuda:0')",tensor([-0.7569])
"tensor(0.1605, device='cuda:0')",tensor([-0.7490])
"tensor(0.2127, device='cuda:0')",tensor([-0.7412])
"tensor(-0.1056, device='cuda:0')",tensor([-0.7333])
"tensor(-0.6083, device='cuda:0')",tensor([-0.7255])
"tensor(0.4248, device='cuda:0')",tensor([-0.7176])
"tensor(0.4990, device='cuda:0')",tensor([-0.7098])
"tensor(-0.4633, device='cuda:0')",tensor([-0.7020])
"tensor(0.4842, device='cuda:0')",tensor([-0.6941])
"tensor(-0.2967, device='cuda:0')",tensor([-0.6863])
"tensor(-0.4824, device='cuda:0')",tensor([-0.6784])
"tensor(-0.1850, device='cuda:0')",tensor([-0.6706])
"tensor(0.4718, device='cuda:0')",tensor([-0.6627])
"tensor(-0.1523, device='cuda:0')",tensor([-0.6549])
"tensor(-0.0563, device='cuda:0')",tensor([-0.6471])
"tensor(0.1928, device='cuda:0')",tensor([-0.6392])
"tensor(-0.5019, device='cuda:0')",tensor([-0.6314])
"tensor(0.2497, device='cuda:0')",tensor([-0.6235])
"tensor(-0.3237, device='cuda:0')",tensor([-0.6157])
"tensor(-0.4076, device='cuda:0')",tensor([-0.6078])
"tensor(0.1899, device='cuda:0')",tensor([-0.6000])
"tensor(-0.0098, device='cuda:0')",tensor([-0.5922])
"tensor(0.4802, device='cuda:0')",tensor([-0.5843])
"tensor(-0.3934, device='cuda:0')",tensor([-0.5765])
"tensor(-0.3792, device='cuda:0')",tensor([-0.5686])
"tensor(0.2178, device='cuda:0')",tensor([-0.5608])
"tensor(-0.1289, device='cuda:0')",tensor([-0.5529])
"tensor(-0.4879, device='cuda:0')",tensor([-0.5451])
"tensor(-0.4378, device='cuda:0')",tensor([-0.5373])
"tensor(0.2680, device='cuda:0')",tensor([-0.5294])
"tensor(-0.4436, device='cuda:0')",tensor([-0.5216])
"tensor(0.4076, device='cuda:0')",tensor([-0.5137])
"tensor(-0.1181, device='cuda:0')",tensor([-0.5059])
"tensor(0.5068, device='cuda:0')",tensor([-0.4980])
"tensor(0.0010, device='cuda:0')",tensor([-0.4902])
"tensor(0.0944, device='cuda:0')",tensor([-0.4824])
"tensor(-0.3621, device='cuda:0')",tensor([-0.4745])
"tensor(-0.0617, device='cuda:0')",tensor([-0.4667])
"tensor(-0.1987, device='cuda:0')",tensor([-0.4588])
"tensor(0.4802, device='cuda:0')",tensor([-0.4510])
"tensor(-0.3167, device='cuda:0')",tensor([-0.4431])
"tensor(0.4216, device='cuda:0')",tensor([-0.4353])
"tensor(-0.1056, device='cuda:0')",tensor([-0.4275])
"tensor(0.3077, device='cuda:0')",tensor([-0.4196])
"tensor(-0.6527, device='cuda:0')",tensor([-0.4118])
"tensor(-0.3741, device='cuda:0')",tensor([-0.4039])
"tensor(-0.3144, device='cuda:0')",tensor([-0.3961])
"tensor(-0.3784, device='cuda:0')",tensor([-0.3882])
"tensor(-0.0311, device='cuda:0')",tensor([-0.3804])
"tensor(-0.5729, device='cuda:0')",tensor([-0.3725])
"tensor(0.1613, device='cuda:0')",tensor([-0.3647])
"tensor(0.4730, device='cuda:0')",tensor([-0.3569])
"tensor(-0.6254, device='cuda:0')",tensor([-0.3490])
