"tensor(-0.0470, device='cuda:0')",tensor([-1.])
"tensor(-0.6442, device='cuda:0')",tensor([-0.9922])
"tensor(-0.3587, device='cuda:0')",tensor([-0.9843])
"tensor(0.2253, device='cuda:0')",tensor([-0.9765])
"tensor(-0.5208, device='cuda:0')",tensor([-0.9686])
"tensor(-0.4815, device='cuda:0')",tensor([-0.9608])
"tensor(-0.1608, device='cuda:0')",tensor([-0.9529])
"tensor(-0.2697, device='cuda:0')",tensor([-0.9451])
"tensor(-0.2281, device='cuda:0')",tensor([-0.9373])
"tensor(-0.3519, device='cuda:0')",tensor([-0.9294])
"tensor(-0.3412, device='cuda:0')",tensor([-0.9216])
"tensor(-0.4868, device='cuda:0')",tensor([-0.9137])
"tensor(0.1154, device='cuda:0')",tensor([-0.9059])
"tensor(-0.1022, device='cuda:0')",tensor([-0.8980])
"tensor(-0.3331, device='cuda:0')",tensor([-0.8902])
"tensor(-0.2373, device='cuda:0')",tensor([-0.8824])
"tensor(-0.2014, device='cuda:0')",tensor([-0.8745])
"tensor(0.5595, device='cuda:0')",tensor([-0.8667])
"tensor(-0.1381, device='cuda:0')",tensor([-0.8588])
"tensor(0.0701, device='cuda:0')",tensor([-0.8510])
"tensor(-0.1131, device='cuda:0')",tensor([-0.8431])
"tensor(0.2187, device='cuda:0')",tensor([-0.8353])
"tensor(-0.1673, device='cuda:0')",tensor([-0.8275])
"tensor(-0.0246, device='cuda:0')",tensor([-0.8196])
"tensor(0.1016, device='cuda:0')",tensor([-0.8118])
"tensor(0.3638, device='cuda:0')",tensor([-0.8039])
"tensor(-0.1580, device='cuda:0')",tensor([-0.7961])
"tensor(-0.2162, device='cuda:0')",tensor([-0.7882])
"tensor(0.2355, device='cuda:0')",tensor([-0.7804])
"tensor(0.4397, device='cuda:0')",tensor([-0.7725])
"tensor(-0.3245, device='cuda:0')",tensor([-0.7647])
"tensor(-0.2512, device='cuda:0')",tensor([-0.7569])
"tensor(0.1587, device='cuda:0')",tensor([-0.7490])
"tensor(0.2109, device='cuda:0')",tensor([-0.7412])
"tensor(-0.1073, device='cuda:0')",tensor([-0.7333])
"tensor(-0.6098, device='cuda:0')",tensor([-0.7255])
"tensor(0.4229, device='cuda:0')",tensor([-0.7176])
"tensor(0.4971, device='cuda:0')",tensor([-0.7098])
"tensor(-0.4648, device='cuda:0')",tensor([-0.7020])
"tensor(0.4823, device='cuda:0')",tensor([-0.6941])
"tensor(-0.2983, device='cuda:0')",tensor([-0.6863])
"tensor(-0.4839, device='cuda:0')",tensor([-0.6784])
"tensor(-0.1866, device='cuda:0')",tensor([-0.6706])
"tensor(0.4699, device='cuda:0')",tensor([-0.6627])
"tensor(-0.1540, device='cuda:0')",tensor([-0.6549])
"tensor(-0.0580, device='cuda:0')",tensor([-0.6471])
"tensor(0.1909, device='cuda:0')",tensor([-0.6392])
"tensor(-0.5034, device='cuda:0')",tensor([-0.6314])
"tensor(0.2478, device='cuda:0')",tensor([-0.6235])
"tensor(-0.3253, device='cuda:0')",tensor([-0.6157])
"tensor(-0.4092, device='cuda:0')",tensor([-0.6078])
"tensor(0.1880, device='cuda:0')",tensor([-0.6000])
"tensor(-0.0116, device='cuda:0')",tensor([-0.5922])
