"tensor(-0.0452, device='cuda:0')",tensor([-1.])
"tensor(-0.6426, device='cuda:0')",tensor([-0.9922])
"tensor(-0.3570, device='cuda:0')",tensor([-0.9843])
"tensor(0.2272, device='cuda:0')",tensor([-0.9765])
"tensor(-0.5192, device='cuda:0')",tensor([-0.9686])
"tensor(-0.4799, device='cuda:0')",tensor([-0.9608])
"tensor(-0.1590, device='cuda:0')",tensor([-0.9529])
"tensor(-0.2679, device='cuda:0')",tensor([-0.9451])
"tensor(-0.2263, device='cuda:0')",tensor([-0.9373])
"tensor(-0.3502, device='cuda:0')",tensor([-0.9294])
"tensor(-0.3395, device='cuda:0')",tensor([-0.9216])
"tensor(-0.4852, device='cuda:0')",tensor([-0.9137])
"tensor(0.1173, device='cuda:0')",tensor([-0.9059])
"tensor(-0.1004, device='cuda:0')",tensor([-0.8980])
"tensor(-0.3314, device='cuda:0')",tensor([-0.8902])
"tensor(-0.2355, device='cuda:0')",tensor([-0.8824])
"tensor(-0.1996, device='cuda:0')",tensor([-0.8745])
"tensor(0.5616, device='cuda:0')",tensor([-0.8667])
"tensor(-0.1363, device='cuda:0')",tensor([-0.8588])
"tensor(0.0721, device='cuda:0')",tensor([-0.8510])
"tensor(-0.1113, device='cuda:0')",tensor([-0.8431])
"tensor(0.2207, device='cuda:0')",tensor([-0.8353])
"tensor(-0.1655, device='cuda:0')",tensor([-0.8275])
"tensor(-0.0227, device='cuda:0')",tensor([-0.8196])
"tensor(0.1036, device='cuda:0')",tensor([-0.8118])
"tensor(0.3659, device='cuda:0')",tensor([-0.8039])
"tensor(-0.1561, device='cuda:0')",tensor([-0.7961])
"tensor(-0.2144, device='cuda:0')",tensor([-0.7882])
"tensor(0.2375, device='cuda:0')",tensor([-0.7804])
"tensor(0.4419, device='cuda:0')",tensor([-0.7725])
"tensor(-0.3228, device='cuda:0')",tensor([-0.7647])
"tensor(-0.2495, device='cuda:0')",tensor([-0.7569])
"tensor(0.1607, device='cuda:0')",tensor([-0.7490])
"tensor(0.2130, device='cuda:0')",tensor([-0.7412])
"tensor(-0.1054, device='cuda:0')",tensor([-0.7333])
"tensor(-0.6081, device='cuda:0')",tensor([-0.7255])
"tensor(0.4250, device='cuda:0')",tensor([-0.7176])
"tensor(0.4993, device='cuda:0')",tensor([-0.7098])
"tensor(-0.4632, device='cuda:0')",tensor([-0.7020])
"tensor(0.4845, device='cuda:0')",tensor([-0.6941])
"tensor(-0.2965, device='cuda:0')",tensor([-0.6863])
"tensor(-0.4822, device='cuda:0')",tensor([-0.6784])
"tensor(-0.1848, device='cuda:0')",tensor([-0.6706])
"tensor(0.4720, device='cuda:0')",tensor([-0.6627])
"tensor(-0.1521, device='cuda:0')",tensor([-0.6549])
"tensor(-0.0561, device='cuda:0')",tensor([-0.6471])
"tensor(0.1930, device='cuda:0')",tensor([-0.6392])
"tensor(-0.5017, device='cuda:0')",tensor([-0.6314])
"tensor(0.2499, device='cuda:0')",tensor([-0.6235])
"tensor(-0.3235, device='cuda:0')",tensor([-0.6157])
"tensor(-0.4075, device='cuda:0')",tensor([-0.6078])
"tensor(0.1901, device='cuda:0')",tensor([-0.6000])
"tensor(-0.0096, device='cuda:0')",tensor([-0.5922])
"tensor(0.4805, device='cuda:0')",tensor([-0.5843])
"tensor(-0.3932, device='cuda:0')",tensor([-0.5765])
"tensor(-0.3790, device='cuda:0')",tensor([-0.5686])
"tensor(0.2181, device='cuda:0')",tensor([-0.5608])
"tensor(-0.1287, device='cuda:0')",tensor([-0.5529])
"tensor(-0.4877, device='cuda:0')",tensor([-0.5451])
"tensor(-0.4376, device='cuda:0')",tensor([-0.5373])
"tensor(0.2683, device='cuda:0')",tensor([-0.5294])
"tensor(-0.4434, device='cuda:0')",tensor([-0.5216])
"tensor(0.4078, device='cuda:0')",tensor([-0.5137])
"tensor(-0.1179, device='cuda:0')",tensor([-0.5059])
"tensor(0.5070, device='cuda:0')",tensor([-0.4980])
"tensor(0.0012, device='cuda:0')",tensor([-0.4902])
"tensor(0.0946, device='cuda:0')",tensor([-0.4824])
"tensor(-0.3620, device='cuda:0')",tensor([-0.4745])
"tensor(-0.0615, device='cuda:0')",tensor([-0.4667])
"tensor(-0.1985, device='cuda:0')",tensor([-0.4588])
"tensor(0.4804, device='cuda:0')",tensor([-0.4510])
"tensor(-0.3165, device='cuda:0')",tensor([-0.4431])
"tensor(0.4218, device='cuda:0')",tensor([-0.4353])
"tensor(-0.1054, device='cuda:0')",tensor([-0.4275])
"tensor(0.3079, device='cuda:0')",tensor([-0.4196])
"tensor(-0.6525, device='cuda:0')",tensor([-0.4118])
"tensor(-0.3740, device='cuda:0')",tensor([-0.4039])
"tensor(-0.3142, device='cuda:0')",tensor([-0.3961])
"tensor(-0.3782, device='cuda:0')",tensor([-0.3882])
"tensor(-0.0309, device='cuda:0')",tensor([-0.3804])
"tensor(-0.5728, device='cuda:0')",tensor([-0.3725])
"tensor(0.1615, device='cuda:0')",tensor([-0.3647])
"tensor(0.4733, device='cuda:0')",tensor([-0.3569])
"tensor(-0.6253, device='cuda:0')",tensor([-0.3490])
"tensor(0.5819, device='cuda:0')",tensor([-0.3412])
"tensor(-0.4145, device='cuda:0')",tensor([-0.3333])
"tensor(-0.4775, device='cuda:0')",tensor([-0.3255])
"tensor(0.4381, device='cuda:0')",tensor([-0.3176])
"tensor(0.0498, device='cuda:0')",tensor([-0.3098])
"tensor(-0.0199, device='cuda:0')",tensor([-0.3020])
"tensor(-0.3798, device='cuda:0')",tensor([-0.2941])
"tensor(0.4678, device='cuda:0')",tensor([-0.2863])
"tensor(-0.6682, device='cuda:0')",tensor([-0.2784])
"tensor(0.2733, device='cuda:0')",tensor([-0.2706])
"tensor(0.2373, device='cuda:0')",tensor([-0.2627])
"tensor(0.4938, device='cuda:0')",tensor([-0.2549])
"tensor(-0.1966, device='cuda:0')",tensor([-0.2471])
"tensor(-0.0966, device='cuda:0')",tensor([-0.2392])
"tensor(0.1415, device='cuda:0')",tensor([-0.2314])
"tensor(-0.4952, device='cuda:0')",tensor([-0.2235])
"tensor(-0.4715, device='cuda:0')",tensor([-0.2157])
"tensor(-0.4845, device='cuda:0')",tensor([-0.2078])
"tensor(0.3074, device='cuda:0')",tensor([-0.2000])
"tensor(-0.1515, device='cuda:0')",tensor([-0.1922])
"tensor(-0.1665, device='cuda:0')",tensor([-0.1843])
"tensor(0.5739, device='cuda:0')",tensor([-0.1765])
"tensor(-0.5611, device='cuda:0')",tensor([-0.1686])
"tensor(-0.2650, device='cuda:0')",tensor([-0.1608])
"tensor(0.2417, device='cuda:0')",tensor([-0.1529])
"tensor(-0.4430, device='cuda:0')",tensor([-0.1451])
"tensor(-0.5604, device='cuda:0')",tensor([-0.1373])
"tensor(-0.2848, device='cuda:0')",tensor([-0.1294])
"tensor(-0.6584, device='cuda:0')",tensor([-0.1216])
"tensor(-0.1198, device='cuda:0')",tensor([-0.1137])
"tensor(0.1945, device='cuda:0')",tensor([-0.1059])
"tensor(0.1767, device='cuda:0')",tensor([-0.0980])
"tensor(-0.6900, device='cuda:0')",tensor([-0.0902])
"tensor(0.4354, device='cuda:0')",tensor([-0.0824])
"tensor(-0.1443, device='cuda:0')",tensor([-0.0745])
"tensor(-0.1897, device='cuda:0')",tensor([-0.0667])
"tensor(-0.3362, device='cuda:0')",tensor([-0.0588])
