"tensor(-0.4656, device='cuda:0')",tensor([-1.])
"tensor(-0.4036, device='cuda:0')",tensor([-0.9922])
"tensor(0.2405, device='cuda:0')",tensor([-0.9843])
"tensor(0.2067, device='cuda:0')",tensor([-0.9765])
"tensor(-0.1321, device='cuda:0')",tensor([-0.9686])
"tensor(-0.0270, device='cuda:0')",tensor([-0.9608])
"tensor(0.0311, device='cuda:0')",tensor([-0.9529])
"tensor(-0.4006, device='cuda:0')",tensor([-0.9451])
"tensor(0.0576, device='cuda:0')",tensor([-0.9373])
"tensor(-0.2896, device='cuda:0')",tensor([-0.9294])
"tensor(-0.3233, device='cuda:0')",tensor([-0.9216])
"tensor(-0.6623, device='cuda:0')",tensor([-0.9137])
"tensor(0.2975, device='cuda:0')",tensor([-0.9059])
"tensor(-0.0398, device='cuda:0')",tensor([-0.8980])
"tensor(0.2356, device='cuda:0')",tensor([-0.8902])
"tensor(-0.3416, device='cuda:0')",tensor([-0.8824])
"tensor(-0.1551, device='cuda:0')",tensor([-0.8745])
"tensor(0.2166, device='cuda:0')",tensor([-0.8667])
"tensor(-0.5167, device='cuda:0')",tensor([-0.8588])
"tensor(-0.2607, device='cuda:0')",tensor([-0.8510])
"tensor(-0.1915, device='cuda:0')",tensor([-0.8431])
"tensor(0.1768, device='cuda:0')",tensor([-0.8353])
"tensor(0.2423, device='cuda:0')",tensor([-0.8275])
"tensor(-0.4397, device='cuda:0')",tensor([-0.8196])
"tensor(0.1060, device='cuda:0')",tensor([-0.8118])
"tensor(-0.3109, device='cuda:0')",tensor([-0.8039])
"tensor(-0.0613, device='cuda:0')",tensor([-0.7961])
"tensor(0.0858, device='cuda:0')",tensor([-0.7882])
"tensor(-0.3271, device='cuda:0')",tensor([-0.7804])
"tensor(-0.3265, device='cuda:0')",tensor([-0.7725])
"tensor(-0.0484, device='cuda:0')",tensor([-0.7647])
"tensor(-0.0708, device='cuda:0')",tensor([-0.7569])
"tensor(-0.4796, device='cuda:0')",tensor([-0.7490])
"tensor(0.1345, device='cuda:0')",tensor([-0.7412])
"tensor(0.0620, device='cuda:0')",tensor([-0.7333])
"tensor(0.2899, device='cuda:0')",tensor([-0.7255])
"tensor(-0.4596, device='cuda:0')",tensor([-0.7176])
"tensor(0.5440, device='cuda:0')",tensor([-0.7098])
"tensor(0.4855, device='cuda:0')",tensor([-0.7020])
"tensor(0.3718, device='cuda:0')",tensor([-0.6941])
"tensor(0.5993, device='cuda:0')",tensor([-0.6863])
"tensor(-0.2005, device='cuda:0')",tensor([-0.6784])
"tensor(-0.3339, device='cuda:0')",tensor([-0.6706])
"tensor(0.1855, device='cuda:0')",tensor([-0.6627])
"tensor(-0.1109, device='cuda:0')",tensor([-0.6549])
"tensor(-0.5025, device='cuda:0')",tensor([-0.6471])
"tensor(-0.2737, device='cuda:0')",tensor([-0.6392])
"tensor(-0.5598, device='cuda:0')",tensor([-0.6314])
"tensor(0.3976, device='cuda:0')",tensor([-0.6235])
"tensor(0.1535, device='cuda:0')",tensor([-0.6157])
"tensor(0.0695, device='cuda:0')",tensor([-0.6078])
"tensor(0.2112, device='cuda:0')",tensor([-0.6000])
"tensor(-0.5795, device='cuda:0')",tensor([-0.5922])
"tensor(-0.0593, device='cuda:0')",tensor([-0.5843])
"tensor(0.2833, device='cuda:0')",tensor([-0.5765])
"tensor(0.5831, device='cuda:0')",tensor([-0.5686])
"tensor(-0.2034, device='cuda:0')",tensor([-0.5608])
"tensor(0.2566, device='cuda:0')",tensor([-0.5529])
"tensor(0.1489, device='cuda:0')",tensor([-0.5451])
"tensor(0.1412, device='cuda:0')",tensor([-0.5373])
"tensor(0.4130, device='cuda:0')",tensor([-0.5294])
"tensor(-0.0316, device='cuda:0')",tensor([-0.5216])
"tensor(-0.2615, device='cuda:0')",tensor([-0.5137])
"tensor(-0.4185, device='cuda:0')",tensor([-0.5059])
"tensor(-0.7179, device='cuda:0')",tensor([-0.4980])
"tensor(-0.0205, device='cuda:0')",tensor([-0.4902])
"tensor(-0.0387, device='cuda:0')",tensor([-0.4824])
"tensor(0.5194, device='cuda:0')",tensor([-0.4745])
"tensor(0.1620, device='cuda:0')",tensor([-0.4667])
"tensor(0.0776, device='cuda:0')",tensor([-0.4588])
"tensor(-0.1156, device='cuda:0')",tensor([-0.4510])
"tensor(0.1191, device='cuda:0')",tensor([-0.4431])
"tensor(0.3509, device='cuda:0')",tensor([-0.4353])
