"tensor(0.0723, device='cuda:0')",tensor([-1.])
"tensor(0.0743, device='cuda:0')",tensor([-0.9922])
"tensor(0.0766, device='cuda:0')",tensor([-0.9843])
"tensor(0.0791, device='cuda:0')",tensor([-0.9765])
"tensor(0.0818, device='cuda:0')",tensor([-0.9686])
"tensor(0.0847, device='cuda:0')",tensor([-0.9608])
"tensor(0.0880, device='cuda:0')",tensor([-0.9529])
"tensor(0.0916, device='cuda:0')",tensor([-0.9451])
"tensor(0.0956, device='cuda:0')",tensor([-0.9373])
"tensor(0.0999, device='cuda:0')",tensor([-0.9294])
"tensor(0.1047, device='cuda:0')",tensor([-0.9216])
"tensor(0.1099, device='cuda:0')",tensor([-0.9137])
"tensor(0.1156, device='cuda:0')",tensor([-0.9059])
"tensor(0.1218, device='cuda:0')",tensor([-0.8980])
"tensor(0.1284, device='cuda:0')",tensor([-0.8902])
"tensor(0.1355, device='cuda:0')",tensor([-0.8824])
"tensor(0.1429, device='cuda:0')",tensor([-0.8745])
"tensor(0.1505, device='cuda:0')",tensor([-0.8667])
"tensor(0.1584, device='cuda:0')",tensor([-0.8588])
"tensor(0.1664, device='cuda:0')",tensor([-0.8510])
"tensor(0.1742, device='cuda:0')",tensor([-0.8431])
"tensor(0.1819, device='cuda:0')",tensor([-0.8353])
"tensor(0.1892, device='cuda:0')",tensor([-0.8275])
"tensor(0.1959, device='cuda:0')",tensor([-0.8196])
"tensor(0.2021, device='cuda:0')",tensor([-0.8118])
"tensor(0.2076, device='cuda:0')",tensor([-0.8039])
"tensor(0.2124, device='cuda:0')",tensor([-0.7961])
"tensor(0.2164, device='cuda:0')",tensor([-0.7882])
"tensor(0.2198, device='cuda:0')",tensor([-0.7804])
"tensor(0.2226, device='cuda:0')",tensor([-0.7725])
"tensor(0.2248, device='cuda:0')",tensor([-0.7647])
"tensor(0.2266, device='cuda:0')",tensor([-0.7569])
"tensor(0.2281, device='cuda:0')",tensor([-0.7490])
"tensor(0.2293, device='cuda:0')",tensor([-0.7412])
"tensor(0.2303, device='cuda:0')",tensor([-0.7333])
"tensor(0.2312, device='cuda:0')",tensor([-0.7255])
"tensor(0.2321, device='cuda:0')",tensor([-0.7176])
"tensor(0.2329, device='cuda:0')",tensor([-0.7098])
"tensor(0.2339, device='cuda:0')",tensor([-0.7020])
"tensor(0.2350, device='cuda:0')",tensor([-0.6941])
"tensor(0.2363, device='cuda:0')",tensor([-0.6863])
"tensor(0.2379, device='cuda:0')",tensor([-0.6784])
"tensor(0.2397, device='cuda:0')",tensor([-0.6706])
"tensor(0.2419, device='cuda:0')",tensor([-0.6627])
"tensor(0.2444, device='cuda:0')",tensor([-0.6549])
"tensor(0.2473, device='cuda:0')",tensor([-0.6471])
"tensor(0.2505, device='cuda:0')",tensor([-0.6392])
"tensor(0.2539, device='cuda:0')",tensor([-0.6314])
"tensor(0.2575, device='cuda:0')",tensor([-0.6235])
"tensor(0.2611, device='cuda:0')",tensor([-0.6157])
"tensor(0.2646, device='cuda:0')",tensor([-0.6078])
"tensor(0.2677, device='cuda:0')",tensor([-0.6000])
"tensor(0.2704, device='cuda:0')",tensor([-0.5922])
"tensor(0.2725, device='cuda:0')",tensor([-0.5843])
"tensor(0.2739, device='cuda:0')",tensor([-0.5765])
"tensor(0.2746, device='cuda:0')",tensor([-0.5686])
"tensor(0.2747, device='cuda:0')",tensor([-0.5608])
"tensor(0.2742, device='cuda:0')",tensor([-0.5529])
"tensor(0.2732, device='cuda:0')",tensor([-0.5451])
"tensor(0.2717, device='cuda:0')",tensor([-0.5373])
"tensor(0.2699, device='cuda:0')",tensor([-0.5294])
"tensor(0.2677, device='cuda:0')",tensor([-0.5216])
"tensor(0.2654, device='cuda:0')",tensor([-0.5137])
"tensor(0.2628, device='cuda:0')",tensor([-0.5059])
"tensor(0.2602, device='cuda:0')",tensor([-0.4980])
"tensor(0.2575, device='cuda:0')",tensor([-0.4902])
"tensor(0.2548, device='cuda:0')",tensor([-0.4824])
"tensor(0.2520, device='cuda:0')",tensor([-0.4745])
"tensor(0.2493, device='cuda:0')",tensor([-0.4667])
"tensor(0.2467, device='cuda:0')",tensor([-0.4588])
"tensor(0.2441, device='cuda:0')",tensor([-0.4510])
"tensor(0.2416, device='cuda:0')",tensor([-0.4431])
"tensor(0.2392, device='cuda:0')",tensor([-0.4353])
