"tensor(-0.0122, device='cuda:0')",tensor([-1.])
"tensor(-0.0097, device='cuda:0')",tensor([-0.9922])
"tensor(-0.0066, device='cuda:0')",tensor([-0.9843])
"tensor(-0.0028, device='cuda:0')",tensor([-0.9765])
"tensor(0.0018, device='cuda:0')",tensor([-0.9686])
"tensor(0.0071, device='cuda:0')",tensor([-0.9608])
"tensor(0.0131, device='cuda:0')",tensor([-0.9529])
"tensor(0.0199, device='cuda:0')",tensor([-0.9451])
"tensor(0.0272, device='cuda:0')",tensor([-0.9373])
"tensor(0.0352, device='cuda:0')",tensor([-0.9294])
"tensor(0.0436, device='cuda:0')",tensor([-0.9216])
"tensor(0.0523, device='cuda:0')",tensor([-0.9137])
"tensor(0.0614, device='cuda:0')",tensor([-0.9059])
"tensor(0.0706, device='cuda:0')",tensor([-0.8980])
"tensor(0.0800, device='cuda:0')",tensor([-0.8902])
"tensor(0.0893, device='cuda:0')",tensor([-0.8824])
"tensor(0.0987, device='cuda:0')",tensor([-0.8745])
"tensor(0.1079, device='cuda:0')",tensor([-0.8667])
"tensor(0.1171, device='cuda:0')",tensor([-0.8588])
"tensor(0.1260, device='cuda:0')",tensor([-0.8510])
"tensor(0.1349, device='cuda:0')",tensor([-0.8431])
"tensor(0.1435, device='cuda:0')",tensor([-0.8353])
"tensor(0.1519, device='cuda:0')",tensor([-0.8275])
"tensor(0.1601, device='cuda:0')",tensor([-0.8196])
"tensor(0.1680, device='cuda:0')",tensor([-0.8118])
"tensor(0.1758, device='cuda:0')",tensor([-0.8039])
"tensor(0.1833, device='cuda:0')",tensor([-0.7961])
"tensor(0.1905, device='cuda:0')",tensor([-0.7882])
"tensor(0.1975, device='cuda:0')",tensor([-0.7804])
"tensor(0.2043, device='cuda:0')",tensor([-0.7725])
"tensor(0.2108, device='cuda:0')",tensor([-0.7647])
"tensor(0.2171, device='cuda:0')",tensor([-0.7569])
"tensor(0.2231, device='cuda:0')",tensor([-0.7490])
"tensor(0.2288, device='cuda:0')",tensor([-0.7412])
"tensor(0.2343, device='cuda:0')",tensor([-0.7333])
"tensor(0.2396, device='cuda:0')",tensor([-0.7255])
"tensor(0.2446, device='cuda:0')",tensor([-0.7176])
"tensor(0.2494, device='cuda:0')",tensor([-0.7098])
"tensor(0.2540, device='cuda:0')",tensor([-0.7020])
"tensor(0.2583, device='cuda:0')",tensor([-0.6941])
"tensor(0.2624, device='cuda:0')",tensor([-0.6863])
"tensor(0.2663, device='cuda:0')",tensor([-0.6784])
"tensor(0.2700, device='cuda:0')",tensor([-0.6706])
"tensor(0.2735, device='cuda:0')",tensor([-0.6627])
"tensor(0.2768, device='cuda:0')",tensor([-0.6549])
"tensor(0.2798, device='cuda:0')",tensor([-0.6471])
"tensor(0.2827, device='cuda:0')",tensor([-0.6392])
"tensor(0.2854, device='cuda:0')",tensor([-0.6314])
"tensor(0.2879, device='cuda:0')",tensor([-0.6235])
"tensor(0.2903, device='cuda:0')",tensor([-0.6157])
"tensor(0.2924, device='cuda:0')",tensor([-0.6078])
"tensor(0.2944, device='cuda:0')",tensor([-0.6000])
"tensor(0.2963, device='cuda:0')",tensor([-0.5922])
"tensor(0.2979, device='cuda:0')",tensor([-0.5843])
"tensor(0.2994, device='cuda:0')",tensor([-0.5765])
"tensor(0.3008, device='cuda:0')",tensor([-0.5686])
"tensor(0.3020, device='cuda:0')",tensor([-0.5608])
"tensor(0.3031, device='cuda:0')",tensor([-0.5529])
"tensor(0.3040, device='cuda:0')",tensor([-0.5451])
"tensor(0.3048, device='cuda:0')",tensor([-0.5373])
"tensor(0.3055, device='cuda:0')",tensor([-0.5294])
"tensor(0.3061, device='cuda:0')",tensor([-0.5216])
"tensor(0.3065, device='cuda:0')",tensor([-0.5137])
"tensor(0.3069, device='cuda:0')",tensor([-0.5059])
"tensor(0.3071, device='cuda:0')",tensor([-0.4980])
"tensor(0.3073, device='cuda:0')",tensor([-0.4902])
"tensor(0.3074, device='cuda:0')",tensor([-0.4824])
"tensor(0.3074, device='cuda:0')",tensor([-0.4745])
"tensor(0.3074, device='cuda:0')",tensor([-0.4667])
"tensor(0.3073, device='cuda:0')",tensor([-0.4588])
"tensor(0.3072, device='cuda:0')",tensor([-0.4510])
"tensor(0.3070, device='cuda:0')",tensor([-0.4431])
"tensor(0.3068, device='cuda:0')",tensor([-0.4353])
"tensor(0.3066, device='cuda:0')",tensor([-0.4275])
"tensor(0.3064, device='cuda:0')",tensor([-0.4196])
"tensor(0.3062, device='cuda:0')",tensor([-0.4118])
"tensor(0.3059, device='cuda:0')",tensor([-0.4039])
"tensor(0.3057, device='cuda:0')",tensor([-0.3961])
"tensor(0.3055, device='cuda:0')",tensor([-0.3882])
"tensor(0.3052, device='cuda:0')",tensor([-0.3804])
"tensor(0.3049, device='cuda:0')",tensor([-0.3725])
"tensor(0.3045, device='cuda:0')",tensor([-0.3647])
"tensor(0.3041, device='cuda:0')",tensor([-0.3569])
"tensor(0.3035, device='cuda:0')",tensor([-0.3490])
"tensor(0.3027, device='cuda:0')",tensor([-0.3412])
"tensor(0.3016, device='cuda:0')",tensor([-0.3333])
"tensor(0.3002, device='cuda:0')",tensor([-0.3255])
"tensor(0.2984, device='cuda:0')",tensor([-0.3176])
"tensor(0.2962, device='cuda:0')",tensor([-0.3098])
"tensor(0.2935, device='cuda:0')",tensor([-0.3020])
"tensor(0.2903, device='cuda:0')",tensor([-0.2941])
"tensor(0.2866, device='cuda:0')",tensor([-0.2863])
"tensor(0.2824, device='cuda:0')",tensor([-0.2784])
"tensor(0.2777, device='cuda:0')",tensor([-0.2706])
"tensor(0.2727, device='cuda:0')",tensor([-0.2627])
"tensor(0.2674, device='cuda:0')",tensor([-0.2549])
"tensor(0.2620, device='cuda:0')",tensor([-0.2471])
"tensor(0.2565, device='cuda:0')",tensor([-0.2392])
"tensor(0.2509, device='cuda:0')",tensor([-0.2314])
"tensor(0.2454, device='cuda:0')",tensor([-0.2235])
"tensor(0.2400, device='cuda:0')",tensor([-0.2157])
"tensor(0.2346, device='cuda:0')",tensor([-0.2078])
"tensor(0.2293, device='cuda:0')",tensor([-0.2000])
"tensor(0.2239, device='cuda:0')",tensor([-0.1922])
"tensor(0.2186, device='cuda:0')",tensor([-0.1843])
"tensor(0.2132, device='cuda:0')",tensor([-0.1765])
"tensor(0.2076, device='cuda:0')",tensor([-0.1686])
"tensor(0.2019, device='cuda:0')",tensor([-0.1608])
"tensor(0.1957, device='cuda:0')",tensor([-0.1529])
"tensor(0.1890, device='cuda:0')",tensor([-0.1451])
"tensor(0.1813, device='cuda:0')",tensor([-0.1373])
"tensor(0.1723, device='cuda:0')",tensor([-0.1294])
"tensor(0.1611, device='cuda:0')",tensor([-0.1216])
"tensor(0.1467, device='cuda:0')",tensor([-0.1137])
"tensor(0.1273, device='cuda:0')",tensor([-0.1059])
"tensor(0.1012, device='cuda:0')",tensor([-0.0980])
"tensor(0.0664, device='cuda:0')",tensor([-0.0902])
"tensor(0.0218, device='cuda:0')",tensor([-0.0824])
"tensor(-0.0342, device='cuda:0')",tensor([-0.0745])
"tensor(-0.1052, device='cuda:0')",tensor([-0.0667])
"tensor(-0.1918, device='cuda:0')",tensor([-0.0588])
"tensor(-0.2725, device='cuda:0')",tensor([-0.0510])
"tensor(-0.3259, device='cuda:0')",tensor([-0.0431])
"tensor(-0.3579, device='cuda:0')",tensor([-0.0353])
"tensor(-0.3784, device='cuda:0')",tensor([-0.0275])
"tensor(-0.3926, device='cuda:0')",tensor([-0.0196])
"tensor(-0.4029, device='cuda:0')",tensor([-0.0118])
"tensor(-0.4107, device='cuda:0')",tensor([-0.0039])
"tensor(-0.4169, device='cuda:0')",tensor([0.0039])
"tensor(-0.4221, device='cuda:0')",tensor([0.0118])
"tensor(-0.4264, device='cuda:0')",tensor([0.0196])
"tensor(-0.4300, device='cuda:0')",tensor([0.0275])
"tensor(-0.4332, device='cuda:0')",tensor([0.0353])
"tensor(-0.4360, device='cuda:0')",tensor([0.0431])
"tensor(-0.4384, device='cuda:0')",tensor([0.0510])
"tensor(-0.4406, device='cuda:0')",tensor([0.0588])
"tensor(-0.4424, device='cuda:0')",tensor([0.0667])
"tensor(-0.4441, device='cuda:0')",tensor([0.0745])
