"tensor(0.0660, device='cuda:0')",tensor([-1.])
"tensor(0.0674, device='cuda:0')",tensor([-0.9922])
"tensor(0.0689, device='cuda:0')",tensor([-0.9843])
"tensor(0.0704, device='cuda:0')",tensor([-0.9765])
"tensor(0.0722, device='cuda:0')",tensor([-0.9686])
"tensor(0.0740, device='cuda:0')",tensor([-0.9608])
"tensor(0.0760, device='cuda:0')",tensor([-0.9529])
"tensor(0.0782, device='cuda:0')",tensor([-0.9451])
"tensor(0.0806, device='cuda:0')",tensor([-0.9373])
"tensor(0.0831, device='cuda:0')",tensor([-0.9294])
"tensor(0.0859, device='cuda:0')",tensor([-0.9216])
"tensor(0.0890, device='cuda:0')",tensor([-0.9137])
"tensor(0.0923, device='cuda:0')",tensor([-0.9059])
"tensor(0.0959, device='cuda:0')",tensor([-0.8980])
"tensor(0.0998, device='cuda:0')",tensor([-0.8902])
"tensor(0.1040, device='cuda:0')",tensor([-0.8824])
"tensor(0.1086, device='cuda:0')",tensor([-0.8745])
"tensor(0.1135, device='cuda:0')",tensor([-0.8667])
"tensor(0.1188, device='cuda:0')",tensor([-0.8588])
"tensor(0.1244, device='cuda:0')",tensor([-0.8510])
"tensor(0.1304, device='cuda:0')",tensor([-0.8431])
"tensor(0.1366, device='cuda:0')",tensor([-0.8353])
"tensor(0.1431, device='cuda:0')",tensor([-0.8275])
"tensor(0.1498, device='cuda:0')",tensor([-0.8196])
"tensor(0.1566, device='cuda:0')",tensor([-0.8118])
"tensor(0.1635, device='cuda:0')",tensor([-0.8039])
"tensor(0.1703, device='cuda:0')",tensor([-0.7961])
"tensor(0.1770, device='cuda:0')",tensor([-0.7882])
"tensor(0.1835, device='cuda:0')",tensor([-0.7804])
"tensor(0.1896, device='cuda:0')",tensor([-0.7725])
"tensor(0.1954, device='cuda:0')",tensor([-0.7647])
"tensor(0.2007, device='cuda:0')",tensor([-0.7569])
"tensor(0.2055, device='cuda:0')",tensor([-0.7490])
"tensor(0.2097, device='cuda:0')",tensor([-0.7412])
"tensor(0.2135, device='cuda:0')",tensor([-0.7333])
"tensor(0.2167, device='cuda:0')",tensor([-0.7255])
"tensor(0.2195, device='cuda:0')",tensor([-0.7176])
"tensor(0.2218, device='cuda:0')",tensor([-0.7098])
"tensor(0.2237, device='cuda:0')",tensor([-0.7020])
"tensor(0.2254, device='cuda:0')",tensor([-0.6941])
"tensor(0.2267, device='cuda:0')",tensor([-0.6863])
"tensor(0.2278, device='cuda:0')",tensor([-0.6784])
"tensor(0.2288, device='cuda:0')",tensor([-0.6706])
"tensor(0.2296, device='cuda:0')",tensor([-0.6627])
"tensor(0.2303, device='cuda:0')",tensor([-0.6549])
"tensor(0.2310, device='cuda:0')",tensor([-0.6471])
"tensor(0.2317, device='cuda:0')",tensor([-0.6392])
"tensor(0.2324, device='cuda:0')",tensor([-0.6314])
"tensor(0.2332, device='cuda:0')",tensor([-0.6235])
"tensor(0.2341, device='cuda:0')",tensor([-0.6157])
"tensor(0.2352, device='cuda:0')",tensor([-0.6078])
"tensor(0.2364, device='cuda:0')",tensor([-0.6000])
"tensor(0.2378, device='cuda:0')",tensor([-0.5922])
"tensor(0.2395, device='cuda:0')",tensor([-0.5843])
"tensor(0.2414, device='cuda:0')",tensor([-0.5765])
"tensor(0.2437, device='cuda:0')",tensor([-0.5686])
"tensor(0.2462, device='cuda:0')",tensor([-0.5608])
"tensor(0.2490, device='cuda:0')",tensor([-0.5529])
"tensor(0.2521, device='cuda:0')",tensor([-0.5451])
"tensor(0.2554, device='cuda:0')",tensor([-0.5373])
"tensor(0.2588, device='cuda:0')",tensor([-0.5294])
"tensor(0.2622, device='cuda:0')",tensor([-0.5216])
"tensor(0.2654, device='cuda:0')",tensor([-0.5137])
"tensor(0.2684, device='cuda:0')",tensor([-0.5059])
"tensor(0.2709, device='cuda:0')",tensor([-0.4980])
"tensor(0.2729, device='cuda:0')",tensor([-0.4902])
"tensor(0.2742, device='cuda:0')",tensor([-0.4824])
"tensor(0.2750, device='cuda:0')",tensor([-0.4745])
"tensor(0.2750, device='cuda:0')",tensor([-0.4667])
"tensor(0.2745, device='cuda:0')",tensor([-0.4588])
"tensor(0.2733, device='cuda:0')",tensor([-0.4510])
"tensor(0.2717, device='cuda:0')",tensor([-0.4431])
"tensor(0.2696, device='cuda:0')",tensor([-0.4353])
"tensor(0.2672, device='cuda:0')",tensor([-0.4275])
"tensor(0.2646, device='cuda:0')",tensor([-0.4196])
"tensor(0.2617, device='cuda:0')",tensor([-0.4118])
"tensor(0.2586, device='cuda:0')",tensor([-0.4039])
"tensor(0.2555, device='cuda:0')",tensor([-0.3961])
"tensor(0.2523, device='cuda:0')",tensor([-0.3882])
"tensor(0.2491, device='cuda:0')",tensor([-0.3804])
"tensor(0.2459, device='cuda:0')",tensor([-0.3725])
"tensor(0.2428, device='cuda:0')",tensor([-0.3647])
"tensor(0.2397, device='cuda:0')",tensor([-0.3569])
"tensor(0.2368, device='cuda:0')",tensor([-0.3490])
"tensor(0.2339, device='cuda:0')",tensor([-0.3412])
"tensor(0.2312, device='cuda:0')",tensor([-0.3333])
"tensor(0.2286, device='cuda:0')",tensor([-0.3255])
"tensor(0.2261, device='cuda:0')",tensor([-0.3176])
"tensor(0.2237, device='cuda:0')",tensor([-0.3098])
"tensor(0.2215, device='cuda:0')",tensor([-0.3020])
"tensor(0.2193, device='cuda:0')",tensor([-0.2941])
"tensor(0.2173, device='cuda:0')",tensor([-0.2863])
"tensor(0.2153, device='cuda:0')",tensor([-0.2784])
"tensor(0.2133, device='cuda:0')",tensor([-0.2706])
"tensor(0.2114, device='cuda:0')",tensor([-0.2627])
"tensor(0.2095, device='cuda:0')",tensor([-0.2549])
"tensor(0.2075, device='cuda:0')",tensor([-0.2471])
"tensor(0.2054, device='cuda:0')",tensor([-0.2392])
"tensor(0.2032, device='cuda:0')",tensor([-0.2314])
"tensor(0.2007, device='cuda:0')",tensor([-0.2235])
"tensor(0.1978, device='cuda:0')",tensor([-0.2157])
"tensor(0.1946, device='cuda:0')",tensor([-0.2078])
"tensor(0.1908, device='cuda:0')",tensor([-0.2000])
"tensor(0.1864, device='cuda:0')",tensor([-0.1922])
"tensor(0.1812, device='cuda:0')",tensor([-0.1843])
"tensor(0.1751, device='cuda:0')",tensor([-0.1765])
"tensor(0.1676, device='cuda:0')",tensor([-0.1686])
"tensor(0.1584, device='cuda:0')",tensor([-0.1608])
"tensor(0.1469, device='cuda:0')",tensor([-0.1529])
"tensor(0.1322, device='cuda:0')",tensor([-0.1451])
"tensor(0.1131, device='cuda:0')",tensor([-0.1373])
